Company,Domain,City,Headcount,Industry,Compliance Driver,Target Title,Contact Name,LinkedIn Company URL,Trigger,Why Now,Fit Score
Savant Wealth Management,savantwealth.com,"Westwood, NJ",200,Financial Services – RIA,FINRA annual training + harassment prevention,Chief Compliance Officer / VP of HR,TBD – search LinkedIn,https://www.linkedin.com/company/savant-wealth-management,Rapid AUM growth ($15.5B); active hiring,AUM growth + new advisor hires require annual FINRA training documentation; manual tracking breaks at this scale.,5
HB Wealth (Homrich Berg),hbwealth.com,"Atlanta, GA",215,Financial Services – RIA,FINRA compliance + AML + harassment prevention,Director of Compliance / Head of HR,TBD – search LinkedIn,https://www.linkedin.com/company/homrich-berg,Rebranded 2024; expanding advisor count,Rebrand + advisor growth means all staff need updated compliance videos aligned to new firm identity.,5
Cassaday & Company,cassaday.com,"McLean, VA",150,Financial Services – RIA,FINRA annual training + SEC requirements,COO / Director of Operations,TBD – search LinkedIn,https://www.linkedin.com/company/cassaday-and-company,18 consecutive Barron's Top 100 rankings; consistent hiring,Established brand prioritises consistent quality — off-the-shelf training doesn't match their positioning.,4
Mission Wealth,missionwealth.com,"Santa Barbara, CA",150,Financial Services – RIA,FINRA + CFP ethics training,Head of People / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/mission-wealth,Forbes Top RIA 2024; growing advisor team,Growing fee-only RIA adding advisors annually — each new hire triggers mandatory FINRA training cycle.,4
Cary Street Partners,carystreetpartners.com,"Richmond, VA",120,Financial Services – RIA,FINRA annual training + state securities,VP Operations / CCO,TBD – search LinkedIn,https://www.linkedin.com/company/cary-street-partners,Barron's Top 100 2024; southeastern expansion,Regional expansion adds staff in new states — multi-state compliance training needs standardisation.,4
GHP Investment Advisors,ghpia.com,"Denver, CO",100,Financial Services – RIA,FINRA + Colorado state securities compliance,COO / HR Director,TBD – search LinkedIn,https://www.linkedin.com/company/ghp-investment-advisors,Forbes Top RIA 2024; steady growth,Crossed 100-employee threshold — the point where manual onboarding breaks and documented training becomes an audit requirement.,4
Inszone Insurance Services,inszoneinsurance.com,"Sacramento, CA",200,Insurance Brokerage,State insurance licensing CE + harassment prevention,VP of People / Director of HR,TBD – search LinkedIn,https://www.linkedin.com/company/inszone-insurance-services,+61% revenue growth YoY; 45 acquisitions in 2023,Rapid M&A means 100s of new employees onboarding with inconsistent training — a liability and culture risk.,5
Newfront Insurance,newfront.com,"San Francisco, CA",300,Insurance Brokerage – Benefits Tech,Employee benefits compliance + state licensing,Director of Learning / Head of HR,TBD – search LinkedIn,https://www.linkedin.com/company/newfront,Partnership with Pave Feb 2025; benefits platform expansion,Tech-forward brokerage that positions on quality — outdated compliance training is an off-brand experience for their staff.,4
Specialty1 Partners,specialty1partners.com,"Houston, TX",500,Healthcare – Dental (DSO),HIPAA + OSHA + state dental board,Director of Compliance / VP of Training,TBD – search LinkedIn,https://www.linkedin.com/company/specialty1-partners,220+ locations in 28 states; one of fastest-growing DSOs,HIPAA training must be documented for every workforce member — at 220 locations this is impossible without a video-based system.,5
Beacon Oral Specialists,beaconoralspecialists.com,"Dallas, TX",300,Healthcare – Oral Surgery (DSO),HIPAA + OSHA 300 + DEA controlled substances,Head of People / Compliance Manager,TBD – search LinkedIn,https://www.linkedin.com/company/beacon-oral-specialists,90+ locations in 11 states; founded 2020 rapid growth,Fast growth from startup to 90 locations means onboarding is ad hoc — one HIPAA breach penalty dwarfs a training investment.,5
42 North Dental,42northdental.com,"Waltham, MA",300,Healthcare – Dental (DSO),HIPAA + OSHA + state dental board (7 states),Director of Training / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/42-north-dental,108+ practices across 7 states; consistent growth since 2007,Multi-state DSO with 108 practices needs consistent HIPAA and infection control training across all locations.,5
Guardian Dentistry Partners,guardiandentalpartners.com,United States,350,Healthcare – Dental (DSO),HIPAA + OSHA + workplace harassment,Head of People & Culture,TBD – search LinkedIn,https://www.linkedin.com/company/guardian-dentistry-partners,1876% revenue growth 2019-2022; Inc. 5000 #1089 2025,Explosive growth requires standardised onboarding and compliance training to maintain quality and avoid regulatory exposure.,5
Community Dental Partners,communitydentalpartners.com,"Denton, TX",250,Healthcare – Dental (DSO),HIPAA + OSHA + underserved community standards,Director of Clinical Compliance / HR,TBD – search LinkedIn,https://www.linkedin.com/company/community-dental-partners,70+ locations; focus on underserved markets,Mission-driven DSO serving underserved markets — documented HIPAA and safety training protects both patients and the organisation.,4
Chord Specialty Dental Partners,chorddentalpartners.com,"Nashville, TN",200,Healthcare – Dental (DSO),HIPAA + OSHA + pediatric patient standards,VP of Operations / Training Director,TBD – search LinkedIn,https://www.linkedin.com/company/chord-specialty-dental,Rebranded April 2024; Inc. 5000 #699,Rebranded 2024 — ideal moment to standardise all staff training videos to reflect new brand and compliance standards.,5
Apex Dental Partners,apexdentalpartners.com,"Dallas, TX",150,Healthcare – Dental (DSO),HIPAA + OSHA,HR Manager / Operations Director,TBD – search LinkedIn,https://www.linkedin.com/company/apex-dental-partners,40+ locations; 200K+ patients annually,Serving 200K patients annually with 40+ locations requires airtight HIPAA training documentation — manual processes don't scale.,4
Barton Malow Builders,bartonmalow.com,"Southfield, MI",300,Construction – General Contractor,OSHA 10/30 + fall protection + workplace violence,EHS Director / Director of Training,TBD – search LinkedIn,https://www.linkedin.com/company/barton-malow,Expanding into Southeast US markets 2024,Geographic expansion means new workforce in new states — each state may have its own supplemental OSHA requirements.,5
Robertson-Ceco Corporation,robertsonceco.com,"Houston, TX",150,Construction – Industrial,OSHA + site-specific safety training + warehouse safety,Safety Director / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/robertson-ceco-corporation,Data centre and industrial construction boom,Industrial construction surge means rapid new hires — onboarding them on OSHA without slowing project timelines is a real pain.,5
Bernards,bernards.com,"San Fernando, CA",250,Construction – General Contractor,OSHA + Cal/OSHA (stricter than federal) + DEI training,VP of HR / Safety Manager,TBD – search LinkedIn,https://www.linkedin.com/company/bernards,Major CA public sector contract wins 2024,California has stricter safety training requirements than federal OSHA — Bernards needs CA-compliant video modules that actually hold up in an audit.,5
Leopardo Companies,leopardo.com,"Hoffman Estates, IL",200,Construction – Commercial Interiors,OSHA + subcontractor compliance + food facility safety,Director of Operations / Safety Coordinator,TBD – search LinkedIn,https://www.linkedin.com/company/leopardo-companies,Midwest expansion; strong repeat client base,Build-out work inside food facilities requires HACCP-adjacent safety training — a niche most generic platforms don't cover.,4
J.H. Findorff & Son,findorff.com,"Madison, WI",300,Construction – General Contractor,OSHA + employee-owned culture training,HR Director / EHS Manager,TBD – search LinkedIn,https://www.linkedin.com/company/j-h-findorff-and-son,Employee-owned; strong Wisconsin project pipeline 2024,Employee-owned firms have extra incentive to invest in staff development — compliance training is also a retention tool.,4
Messer Construction,messer.com,"Cincinnati, OH",350,Construction – General Contractor,OSHA + diversity training + subcontractor safety,VP Safety / Director of People,TBD – search LinkedIn,https://www.linkedin.com/company/messer-construction,Expanding geographies 2023-2024,Multi-state expansion with healthcare and higher-ed projects means site-specific safety videos for each project type.,4
Skender Construction,skender.com,"Chicago, IL",150,Construction – Modular / Commercial,OSHA + modular manufacturing safety,Safety Manager / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/skender,Modular manufacturing differentiator; growing 2024,Unique modular production model creates a training challenge off-the-shelf platforms can't address — custom video is the answer.,4
Furlani Foods,furlanifoods.com,"Ontario, Canada",150,Food Manufacturing,HACCP + CFIA + Safe Food for Canadians Regulations,HR Manager / Quality Assurance Manager,TBD – search LinkedIn,https://www.linkedin.com/company/furlani-foods,Acquired Cole's Quality Foods 2024 — integration underway,Post-acquisition integration means two workforces with different training histories — a critical moment to standardise HACCP and food safety onboarding.,5
Lakeview Farms,lakeviewfarms.com,"Findlay, OH",250,Food Manufacturing,FDA FSMA + HACCP + workplace safety,HR Director / Training Manager,TBD – search LinkedIn,https://www.linkedin.com/company/lakeview-farms,Acquired noosa Yogurt 2024 — multi-brand integration,Integrating acquired brands means new production lines and new staff — FSMA food safety training must be documented before FDA inspections.,5
Bosch Growers,boschgrowers.com,"Kentucky, USA",80,Food Manufacturing – Produce,USDA + FDA + pesticide safety + Good Agricultural Practices,Operations Manager / HR,TBD – search LinkedIn,https://www.linkedin.com/company/bosch-growers,$50M greenhouse investment Feb 2024 — rapid workforce growth,New greenhouse expansion means rapid new hires in a regulated environment — food safety and pesticide handling training required before production starts.,4
noosa Yogurt (Lakeview Farms),noosayoghurt.com,"Bellvue, CO",200,Food Manufacturing – Dairy,FDA FSMA + HACCP + GFSI standards,Quality Manager / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/noosa-yogurt,Acquired by Lakeview Farms 2024 — brand restructuring,Brand transition means workforce re-alignment — an ideal trigger to refresh all compliance and food safety training to reflect new ownership standards.,4
Berdon LLP,berdonllp.com,"New York, NY",400,Accounting / Professional Services,NY State annual harassment training + CPE,HR Manager / Director of Talent,TBD – search LinkedIn,https://www.linkedin.com/company/berdon-llp,Annual training cycle renewal,NY state mandates annual harassment training for all staff — Berdon needs a trackable video-based solution to document and certify completion.,4
Hanson Bridgett LLP,hansonbridgett.com,"San Francisco, CA",350,Law Firm,CLE ethics + CA SB 1343 harassment training,Director of HR / Professional Development Manager,TBD – search LinkedIn,https://www.linkedin.com/company/hanson-bridgett-llp,B-Corp status maintenance; social responsibility commitments,B-Corp-certified law firm that ties its identity to ethical practices — compliance training quality directly reflects brand values.,4
Windermere Real Estate,windermere.com,"Seattle, WA",300,Real Estate Brokerage,Fair Housing Act + state licensing + ethics,Director of Training & Education,TBD – search LinkedIn,https://www.linkedin.com/company/windermere-real-estate,Active agent onboarding; Pacific Northwest market growth,Brokerages must prove Fair Housing training for every agent — liability exposure without documentation is significant.,4
LaSalle Network,lasallenetwork.com,"Chicago, IL",250,Staffing Agency,EEO compliance + state labor laws + harassment prevention,Head of People & Culture,TBD – search LinkedIn,https://www.linkedin.com/company/lasalle-network,Rapid growth awards; consistent placement growth,Fast-growing staffing firms place 100s of people annually — each placement touches harassment and EEO compliance obligations.,4
Farella Braun + Martel LLP,fbm.com,"San Francisco, CA",250,Law Firm,Ethics CLE + data privacy + cybersecurity training,Professional Development Manager,TBD – search LinkedIn,https://www.linkedin.com/company/farella-braun-+-martel-llp,Cybersecurity insurance requirements tightening 2024,Law firms are prime cyberattack targets — insurers now mandate documented annual cybersecurity awareness training as a coverage condition.,5
Kearney & Company,kearneyco.com,"Alexandria, VA",450,Accounting – Government,Federal ethics standards + government contract compliance + CPE,Director of Learning & Development,TBD – search LinkedIn,https://www.linkedin.com/company/kearney-&-company,New federal contract wins 2024,Government accounting requires federal ethics and security clearance training for all staff — highly specialised content that generic platforms don't cover well.,4
Alkeme Inc.,alkeme.com,California,200,Insurance Brokerage,State insurance licensing CE + E&O risk + harassment,VP of Talent / HR Director,TBD – search LinkedIn,https://www.linkedin.com/company/alkeme,+21.3% YoY revenue; 15 M&A deals in 2023,Post-M&A integration of 15 firms means hundreds of staff with different training histories — compliance documentation gaps are a liability.,5
Rate Insurance,rateinsurance.com,"Chicago, IL",150,Insurance Brokerage,State insurance licensing CE + data privacy,Head of HR / Training Coordinator,TBD – search LinkedIn,https://www.linkedin.com/company/rate-insurance,3rd consecutive year in Top 100 P/C Agency; digital growth,Digitally native brokerage values polished employee experience — off-the-shelf compliance training is inconsistent with their brand.,3
Oakbridge Insurance Agency,oakbridgeinsurance.com,"Atlanta, GA",180,Insurance Brokerage,State licensing CE + E&O + AML,Director of People / HR Manager,TBD – search LinkedIn,https://www.linkedin.com/company/oakbridge-insurance-agency,+56.4% YoY revenue; Audax Private Equity investment,PE-backed rapid growth means onboarding 50+ new employees at a time — scalable compliance training is a real operational need.,5
Vaco,vaco.com,"Nashville, TN",800,Staffing Agency,Employment law + data privacy + cross-jurisdiction compliance,Chief People Officer,TBD – search LinkedIn,https://www.linkedin.com/company/vaco,International expansion 2024,Operating across multiple jurisdictions requires compliance training that adapts to different state and provincial legal requirements.,3
Hagerty Consulting,hagertyconsulting.com,"Evanston, IL",250,Emergency Management Consulting,FEMA regulations + federal ethics + security,HR Director / Talent Manager,TBD – search LinkedIn,https://www.linkedin.com/company/hagerty-consulting,Disaster response contract growth,Emergency consultants must be trained on federal relief fund compliance rules before deployment — speed and documentation both matter.,4
Fenwick & West LLP,fenwick.com,"Mountain View, CA",750,Law Firm,Ethics CLE + CA SB 1343 + data privacy,Director of Professional Development,TBD – search LinkedIn,https://www.linkedin.com/company/fenwick-&-west,Tech sector volatility; staff fluctuation,High staff turnover in tech law creates a constant onboarding and compliance training cycle — automation through video is the obvious fix.,3
Douglas Elliman,elliman.com,"New York, NY",900,Real Estate Brokerage,Fair Housing + AML + state licensing,Head of Agent Training,TBD – search LinkedIn,https://www.linkedin.com/company/douglas-elliman-real-estate,New high-value transaction AML regulations,High-end residential real estate now faces AML scrutiny — agents need documented training on identifying and reporting suspicious transactions.,4
Allied OMS,alliedoms.com,"Southlake, TX",200,Healthcare – Oral Surgery (DSO),HIPAA + OSHA + controlled substances (DEA),Operations Director / Compliance Manager,TBD – search LinkedIn,https://www.linkedin.com/company/allied-oms,$116M credit facility closed 2024 — growth phase,Fresh capital means rapid expansion — HIPAA and controlled-substance training must scale with each new location or DEA exposure grows.,5
